2018-01-20 11:12:40 - zebedeu	 Entrou
2018-01-22 8:21:14 - zebedeu	 Saiu
2018-01-22 8:21:34 - marcia	 Entrou
2018-01-22 8:23:58 - teste	 Entrou
2018-01-22 10:49:18 - teste	 Entrou
2018-01-22 15:18:19 - marcia	 Entrou
2018-01-22 15:18:58 - teste	 Entrou
2018-01-23 8:06:59 - zebedeu	 Entrou
2018-01-27 8:46:12 - zebedeu	 Entrou
2018-01-27 8:46:56 - zebedeu	 Saiu
2018-01-27 8:47:10 - teste	 Entrou
2018-01-27 8:47:26 - teste	 Saiu
2018-01-27 8:47:50 - marcia	 Entrou
2018-01-29 20:09:35 - zebedeu	 Entrou
2018-01-29 20:46:37 - marcia	 Entrou
2018-01-30 7:03:23 - zebedeu	 Saiu
2018-01-30 7:03:38 - teste	 Entrou
2018-01-30 12:30:41 - zebedeu	 Entrou
2018-01-31 21:15:15 - zebedeu	 Entrou
2018-02-01 7:08:31 - zebedeu	 Saiu
2018-02-01 7:55:38 - paciente	 Entrou
2018-02-01 8:16:02 - teste	 Entrou
2018-02-01 8:16:42 - paciente	 Saiu
2018-02-01 8:19:24 - tabita	 Entrou
2018-02-01 8:27:55 - marcia	 Entrou
2018-02-03 11:47:15 - marcia	 Entrou
2018-02-03 11:47:48 - marcia	 Entrou
2018-02-03 11:52:27 - tabita	 Entrou
2018-02-03 11:56:54 - tabita	 Saiu
2018-02-03 11:57:03 - teste	 Entrou
2018-02-03 11:58:50 - teste	 Saiu
2018-02-03 11:59:04 - zebedeu	 Entrou
2018-02-04 18:43:29 - marcia	 Entrou
2018-02-06 8:44:33 - paciente	 Entrou
2018-02-06 8:51:33 - paciente	 Saiu
2018-02-06 8:51:49 - tabita	 Entrou
2018-02-06 18:17:08 - tabita	 Entrou
2018-02-06 18:33:34 - teste	 Entrou
2018-02-07 7:54:04 - tabita	 Saiu
2018-02-07 7:54:24 - zebedeu	 Entrou
2018-02-07 16:09:40 - zebedeu	 Entrou
2018-02-08 9:26:46 - zebedeu	 Entrou
2018-02-08 10:56:06 - teste	 Entrou
2018-02-08 12:12:46 - marcia	 Entrou
2018-02-09 16:08:00 - teste	 Entrou
2018-02-09 20:43:46 - zebedeu	 Entrou
2018-02-09 20:50:36 - teste	 Entrou
2018-02-10 10:54:36 - andre	 Entrou
2018-02-10 12:35:02 - andre	 Saiu
2018-02-10 12:35:26 - marcia	 Entrou
2018-02-11 16:36:44 - teste	 Entrou
2018-02-11 16:37:16 - marcia	 Entrou
2018-02-12 7:57:15 - tabita	 Entrou
2018-02-12 8:59:51 - tabita	 Saiu
2018-02-12 9:00:03 - teste	 Entrou
2018-02-12 12:04:12 - zebedeu	 Entrou
2018-02-12 19:05:59 - teste	 Saiu
2018-02-12 19:15:19 - zebedeu	 Entrou
2018-02-12 20:34:49 - marcia	 Entrou
2018-02-14 8:40:41 - marcia	 Saiu
2018-02-14 8:40:57 - zebedeu	 Entrou
2018-02-15 10:15:48 - marcia	 Entrou
2018-02-15 10:17:06 - teste	 Entrou
2018-02-15 10:55:56 - marcia	 Saiu
2018-02-15 10:56:15 - zebedeu	 Entrou
2018-02-17 15:36:37 - marcia	 Entrou
2018-02-17 15:45:09 - teste	 Entrou
2018-02-27 16:07:31 - Marcio	 Saiu
2018-02-27 16:07:32 - 	 Saiu
2018-02-27 16:07:36 - 	 Saiu
2018-02-27 16:15:52 - Marcio	 Entrou
2018-02-27 18:08:26 - Marcio	 Saiu
2018-02-27 18:08:32 - 	 Saiu
2018-02-27 18:09:49 - Marcio	 Entrou
2018-03-01 11:36:05 - Marcio	 Entrou
2018-03-03 20:08:31 - Marcio	 Entrou
2018-03-05 9:53:41 - Marcio	 Entrou
2018-03-05 13:31:21 - zebedeu	 Entrou
2018-03-05 19:26:30 - teste	 Entrou
2018-03-06 14:19:05 - zebedeu	 Saiu
2018-03-06 14:20:51 - Laoratorio	 Entrou
2018-03-06 14:49:48 - Laoratorio	 Saiu
2018-03-06 14:50:10 - zebedeu	 Entrou
2018-03-06 14:58:51 - zebedeu	 Saiu
2018-03-06 14:59:11 - teste	 Entrou
2018-03-07 9:35:37 - teste	 Saiu
2018-03-07 9:36:00 - marcia	 Entrou
2018-03-07 9:40:56 - teste	 Entrou
2018-03-08 8:03:39 - teste	 Entrou
2018-03-08 8:25:24 - teste	 Saiu
2018-03-08 9:02:33 - teste	 Entrou
2018-03-08 10:38:17 - teste	 Entrou
2018-03-15 16:35:47 - teste	 Entrou
2018-03-16 9:24:26 - teste	 Entrou
2018-03-16 9:28:05 - teste	 Saiu
2018-03-16 9:28:20 - teste	 Entrou
2018-03-16 9:30:08 - teste	 Saiu
2018-03-16 9:30:17 - teste	 Entrou
2018-03-16 16:45:38 - teste	 Saiu
2018-03-16 16:46:30 - teste	 Entrou
2018-03-17 15:55:21 - teste	 Saiu
2018-03-17 15:55:31 - teste	 Entrou
2018-03-17 16:29:15 - teste	 Saiu
2018-03-17 16:29:24 - marcia	 Entrou
2018-03-17 16:29:41 - marcia	 Saiu
2018-03-17 16:30:09 - andre	 Entrou
2018-03-17 16:32:54 - andre	 Saiu
2018-03-17 16:33:09 - teste	 Entrou
2018-03-17 16:39:25 - teste	 Saiu
2018-03-17 16:39:37 - marcia	 Entrou
2018-03-17 16:40:10 - marcia	 Saiu
2018-03-17 16:40:21 - teste	 Entrou
2018-03-17 16:51:01 - teste	 Saiu
2018-03-17 16:51:13 - marcia	 Entrou
2018-03-17 16:52:23 - marcia	 Saiu
2018-03-17 16:52:44 - teste	 Entrou
